Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
8/12/20,20615476,744023,12827168,7044285,278073,3.61,62.22,5.8,188
8/13/20,20901672,750240,12992381,7159051,286212,3.59,62.16,5.77,188
8/14/20,21206137,760366,13276831,7168940,304465,3.59,62.61,5.73,188
8/15/20,21454001,765715,13445844,7242442,247864,3.57,62.67,5.69,188
8/16/20,21666057,769914,13677100,7219043,212098,3.55,63.13,5.63,188
8/17/20,21876108,774056,13888685,7213367,210051,3.54,63.49,5.57,188
8/18/20,22132478,780935,14116672,7234871,256370,3.53,63.78,5.53,188
8/19/20,22407067,787694,14334257,7285116,274589,3.52,63.97,5.5,188
8/2/20,18073489,685087,10690555,6697847,0,3.79,59.15,6.41,188
8/20/20,22674400,793732,14542161,7338507,4600911,3.5,64.13,5.46,188
8/21/20,22944256,799224,14712254,7432778,269856,3.48,64.12,5.43,188
8/22/20,23209748,804796,14922376,7482576,265492,3.47,64.29,5.39,188
8/23/20,23415376,808648,15137612,7469116,205628,3.45,64.65,5.34,188
8/24/20,23641786,813011,15337813,7490962,226510,3.44,64.88,5.3,188
8/25/20,23883773,819396,15570600,7493777,241987,3.43,65.19,5.26,188
8/26/20,24172773,825684,15795103,7551986,289000,3.42,65.34,5.23,188
8/27/20,24452017,831576,15996809,7623632,279261,3.4,65.42,5.2,188
8/28/20,24733680,837091,16197387,7699202,283011,3.38,65.49,5.17,188
8/29/20,24994670,842472,16409128,7743070,260990,3.37,65.65,5.13,188
8/3/20,18275011,689402,10913000,6672609,239,3.77,59.72,6.32,188
8/30/20,25221059,846381,16617682,7756996,6946287,3.36,65.89,5.09,188
8/31/20,25483593,850572,16819245,7813776,262534,3.34,66.0,5.06,188
8/4/20,18533677,696323,11134735,6702619,292,3.76,60.08,6.25,188
8/5/20,18805967,703290,11356431,6746246,272290,3.74,60.39,6.19,188
8/6/20,19090844,709787,11545401,6835656,284877,3.72,60.48,6.15,188
8/7/20,19371914,716089,11738052,6917773,281070,3.7,60.59,6.1,188
8/8/20,19631350,721512,11939431,6970407,259436,3.68,60.82,6.04,188
8/9/20,19854976,726064,12116289,7012623,223628,3.66,61.02,5.99,188
9/1/20,25747891,857060,17074242,7816589,5893495,3.33,66.31,5.02,188
9/10/20,28168782,909572,18994630,8264580,2421994,3.23,67.43,4.79,188
9/11/20,28488690,915454,19218164,8355072,319908,3.21,67.46,4.76,188
9/12/20,28766035,920332,19441643,8404060,277345,3.2,67.59,4.73,188
9/13/20,29002159,923981,19627584,8450594,236124,3.19,67.68,4.71,188
9/14/20,29281907,928415,19857191,8496301,279748,3.17,67.81,4.68,188
9/15/20,29565771,934965,20081977,8548829,283864,3.16,67.92,4.66,188
9/16/20,29870696,940722,20311101,8618873,304925,3.15,68.0,4.63,188
9/17/20,30184473,946181,20530587,8707705,313777,3.13,68.02,4.61,188
9/18/20,30507945,951890,20782529,8773526,323472,3.12,68.12,4.58,188
9/19/20,30789093,957125,21020466,8811502,281148,3.11,68.27,4.55,188
9/2/20,26030704,863079,17293011,7874614,12,3.32,66.43,4.99,188
9/20/20,31029890,960821,21256599,8812470,4999198,3.1,68.5,4.52,188
9/21/20,31329271,964873,21499949,8864449,299381,3.08,68.63,4.49,188
9/22/20,31608522,970753,21718209,8919560,279251,3.07,68.71,4.47,188
9/23/20,31875596,976361,21981930,8917305,267074,3.06,68.96,4.44,188
9/24/20,32236615,983077,22236681,9016857,361019,3.05,68.98,4.42,188
9/25/20,32566990,988993,22476408,9101589,330375,3.04,69.02,4.4,188
9/26/20,32844468,994274,22719759,9130435,277478,3.03,69.17,4.38,188
9/27/20,33084725,997876,22930159,9156690,240257,3.02,69.31,4.35,188
9/28/20,33361813,1001797,23155715,9204301,277088,3.0,69.41,4.33,188
9/29/20,33645851,1007892,23392396,9245563,284038,3.0,69.53,4.31,188
9/3/20,26311640,868793,17513912,7928935,8,3.3,66.56,4.96,188
9/30/20,33972874,1014298,23641932,9316644,7661237,2.99,69.59,4.29,188
9/4/20,26624479,874702,17727850,8021927,3,3.29,66.58,4.93,188
9/5/20,26887771,879645,17928840,8079286,263311,3.27,66.68,4.91,188
9/6/20,27109897,883414,18139070,8087413,222126,3.26,66.91,4.87,188
9/7/20,27343696,892726,18337969,8113001,241752,3.26,67.06,4.87,188
9/8/20,27577124,897463,18526387,8153274,233743,3.25,67.18,4.84,188
9/9/20,27869487,903759,18778863,8186865,292363,3.24,67.38,4.81,188
